step,x,y,z
160447,-0.15,-0.8879802,0.5000001
160448,-0.15,-0.5544405,0.5000001
160449,-0.15,-0.1228008,0.5000001
160450,-0.15,0.4069387,0.5000001
160451,-0.15,0.9800001,0.5000001
160452,-0.15,-1.3,0.5000001
160453,-0.15,-1.24114,0.5000001
160454,-0.15,-1.08418,0.5000001
160455,-0.15,-0.8291203,0.5000001
160456,-0.15,-0.4759606,0.5000001
160457,-0.15,-0.02470092,0.5000001
160458,-0.15,0.5246586,0.5000001
160459,-0.15,0.9800001,0.5000001
160460,-0.15,-1.296076,0.5000001
160461,-0.15,-1.217596,0.5000001
160462,-0.15,-1.041016,0.5000001
160463,-0.15,-0.7663363,0.5000001
160464,-0.15,-0.3935566,0.5000001
160465,-0.15,0.07732299,0.5000001
160466,-0.15,0.6463025,0.5000001
160467,-0.15,0.9800001,0.5000001
160468,-0.15,-1.288228,0.5000001
160469,-0.15,-1.190128,0.5000001
160470,-0.15,-0.9939281,0.5000001
160471,-0.15,-0.6996284,0.5000001
160472,-0.07372928,-0.5247001,0.5331634
160473,0.3076242,-1.007986,0.6989796
160474,0.6889777,-1.393172,0.8647959
160475,1.070331,-1.680259,1.030612
160476,1.451685,-1.869245,1.196428
160477,1.833038,-1.960131,1.362244
160478,2.214392,-1.952918,1.52806
160479,2.48,-1.889447,1.643549
160480,-0.15,-1.296076,0.5000001
160481,-0.15,-1.217596,0.5000001
160482,-0.15,-1.041016,0.5000001
160483,-0.15,-0.7663363,0.5000001
160484,-0.7434167,-0.5162017,0.421746
160485,-1.29402,-0.1628322,0.3486082
160486,-1.481132,-0.02000009,0.3237536
160487,-0.15,-1.276456,0.5000001
160488,-0.15,-1.158736,0.5000001
160489,-0.15,-0.9429162,0.5000001
160490,-0.15,-0.6289964,0.5000001
160491,-0.15,-0.2169768,0.5000001
160492,-0.15,0.2931428,0.5000001
160493,-0.15,0.9013623,0.5000001
160494,-0.15,0.9800001,0.5000001
160495,-0.15,-1.26076,0.5000001
160496,-0.15,-1.12342,0.5000001
160497,-0.15,-0.8879802,0.5000001
160498,-0.15,-0.5544405,0.5000001
160499,-0.15,-0.1228008,0.5000001
160500,-0.15,0.4069387,0.5000001
160501,-0.15,0.9800001,0.5000001
160502,-0.15,-1.3,0.5000001
160503,-0.15,-1.24114,0.5000001
160504,-0.15,-1.08418,0.5000001
160505,-0.15,-0.8291203,0.5000001
160506,-0.15,-0.4759606,0.5000001
160507,-0.15,-0.02470092,0.5000001
160508,-0.15,0.5246586,0.5000001
160509,-0.15,0.9800001,0.5000001
160510,-0.15,-1.296076,0.5000001
160511,-0.15,-1.217596,0.5000001
160512,-0.15,-1.041016,0.5000001
160513,-0.15,-0.7663363,0.5000001
160514,-0.15,-0.3935566,0.5000001
160515,-0.15,0.07732299,0.5000001
160516,-0.15,0.6463025,0.5000001
160517,-0.15,0.9800001,0.5000001
160518,-0.15,-1.288228,0.5000001
160519,-0.15,-1.190128,0.5000001
160520,-0.15,-0.9939281,0.5000001
160521,-0.15,-0.6996284,0.5000001
160522,-0.15,-0.3072287,0.5000001
160523,-0.15,0.1832709,0.5000001
160524,-0.15,0.7718704,0.5000001
160525,-0.15,0.9800001,0.5000001
160526,-0.15,-1.276456,0.5000001
160527,-0.15,-1.158736,0.5000001
160528,-0.15,-0.9429162,0.5000001
160529,-0.15,-0.6289964,0.5000001
160530,-0.15,-0.2169768,0.5000001
160531,-0.15,0.2931428,0.5000001
160532,-0.15,0.9013623,0.5000001
160533,-0.15,0.9800001,0.5000001
160534,-0.15,-1.26076,0.5000001
160535,-0.15,-1.12342,0.5000001
160536,-0.15,-0.8879802,0.5000001
160537,-0.15,-0.5544405,0.5000001
160538,-0.15,-0.1228008,0.5000001
160539,-0.15,0.4069387,0.5000001
160540,-0.15,0.9800001,0.5000001
160541,-0.15,-1.3,0.5000001
160542,-0.15,-1.24114,0.5000001
160543,-0.15,-1.08418,0.5000001
160544,-0.15,-0.8291203,0.5000001
160545,-0.3270862,-0.5005968,0.5616648
160546,-0.6222299,-0.05047486,0.6644393
160547,-0.6399013,-0.02000009,0.6705928
160548,-0.15,-1.26076,0.5000001
160549,-0.15,-1.12342,0.5000001
160550,-0.15,-0.8879802,0.5000001
160551,-0.15,-0.5544405,0.5000001
160552,-0.15,-0.1228008,0.5000001
160553,-0.15,0.4069387,0.5000001
160554,-0.15,0.9800001,0.5000001
160555,-0.15,-1.3,0.5000001
160556,-0.15,-1.24114,0.5000001
160557,-0.15,-1.08418,0.5000001
160558,-0.15,-0.8291203,0.5000001
160559,-0.15,-0.4759606,0.5000001
160560,-0.15,-0.02470092,0.5000001
160561,-0.15,0.5246586,0.5000001
160562,-0.15,0.9800001,0.5000001
160563,-0.15,-1.296076,0.5000001
160564,-0.15,-1.217596,0.5000001
160565,-0.15,-1.041016,0.5000001
160566,-0.15,-0.7663363,0.5000001
160567,-0.15,-0.3935566,0.5000001
160568,-0.15,0.07732299,0.5000001
160569,-0.15,0.6463025,0.5000001
160570,-0.15,0.9800001,0.5000001
160571,-0.15,-1.288228,0.5000001
160572,-0.15,-1.190128,0.5000001
160573,-0.15,-0.9939281,0.5000001
160574,-0.15,-0.6996284,0.5000001
160575,-0.15,-0.3072287,0.5000001
160576,-0.15,0.1832709,0.5000001
160577,-0.15,0.7718704,0.5000001
160578,-0.15,0.9800001,0.5000001
160579,-0.15,-1.276456,0.5000001
160580,-0.15,-1.158736,0.5000001
160581,-0.15,-0.9429162,0.5000001
160582,-0.15,-0.6289964,0.5000001
160583,-0.15,-0.2169768,0.5000001
160584,-0.15,0.2931428,0.5000001
160585,-0.15,0.9013623,0.5000001
160586,-0.15,0.9800001,0.5000001
160587,-0.15,-1.26076,0.5000001
160588,-0.15,-1.12342,0.5000001
160589,-0.15,-0.8879802,0.5000001
160590,-0.15,-0.5544405,0.5000001
160591,-0.15,-0.1228008,0.5000001
160592,-0.15,0.4069387,0.5000001
160593,-0.15,0.9800001,0.5000001
160594,-0.15,-1.3,0.5000001
160595,-0.15,-1.24114,0.5000001
160596,-0.15,-1.08418,0.5000001
160597,-0.15,-0.8291203,0.5000001
160598,-0.15,-0.4759606,0.5000001
160599,-0.15,-0.02470092,0.5000001
160600,-0.15,0.5246586,0.5000001
160601,-0.15,0.9800001,0.5000001
160602,-0.15,-1.296076,0.5000001
160603,-0.15,-1.217596,0.5000001
160604,-0.15,-1.041016,0.5000001
160605,-0.15,-0.7663363,0.5000001
160606,-0.15,-0.3935566,0.5000001
160607,-0.15,0.07732299,0.5000001
160608,-0.15,0.6463025,0.5000001
160609,-0.15,0.9800001,0.5000001
160610,-0.15,-1.288228,0.5000001
160611,-0.15,-1.190128,0.5000001
160612,-0.15,-0.9939281,0.5000001
160613,-0.15,-0.6996284,0.5000001
160614,-0.15,-0.3072287,0.5000001
160615,-0.15,0.1832709,0.5000001
160616,-0.15,0.7718704,0.5000001
160617,-0.15,0.9800001,0.5000001
160618,-0.15,-1.276456,0.5000001
160619,-0.15,-1.158736,0.5000001
160620,-0.15,-0.9429162,0.5000001
160621,-0.15,-0.6289964,0.5000001
160622,-0.15,-0.2169768,0.5000001
160623,-0.15,0.2931428,0.5000001
160624,-0.15,0.9013623,0.5000001
160625,-0.15,0.9800001,0.5000001
160626,-0.15,-1.26076,0.5000001
160627,-0.15,-1.12342,0.5000001
160628,-0.15,-0.8879802,0.5000001
160629,-0.15,-0.5544405,0.5000001
160630,-0.15,-0.1228008,0.5000001
160631,-0.15,0.4069387,0.5000001
160632,-0.15,0.9800001,0.5000001
160633,-0.15,-1.3,0.5000001
160634,-0.15,-1.24114,0.5000001
160635,-0.15,-1.08418,0.5000001
160636,-0.15,-0.8291203,0.5000001
160637,-0.15,-0.4759606,0.5000001
160638,-0.15,-0.02470092,0.5000001
160639,-0.15,0.5246586,0.5000001
160640,-0.15,0.9800001,0.5000001
160641,-0.15,-1.296076,0.5000001
160642,-0.15,-1.217596,0.5000001
160643,-0.15,-1.041016,0.5000001
160644,-0.15,-0.7663363,0.5000001
160645,0.2121176,-0.9506781,0.6914932
160646,0.6647645,-1.134501,0.9308594
160647,1.117411,-1.220224,1.170226
160648,1.570059,-1.207847,1.409592
160649,2.022706,-1.09737,1.648958
160650,2.475353,-0.8887933,1.888325
160651,2.40293,-0.8463677,1.926297
160652,-0.15,-1.26076,0.5000001
160653,-0.15,-1.12342,0.5000001
160654,-0.15,-0.8879802,0.5000001
160655,-0.07210279,-0.5973047,0.4847786
160656,0.3173832,-0.3419859,0.4086707
160657,0.7068691,0.0114328,0.3325629
160658,1.096355,0.4629514,0.2564551
160659,1.464298,0.9800001,0.1845569
160660,-0.15,-1.3,0.5000001
160661,-0.15,-1.24114,0.5000001
160662,-0.15,-1.08418,0.5000001
160663,-0.15,-0.8291203,0.5000001
160664,-0.15,-0.4759606,0.5000001
160665,-0.15,-0.02470092,0.5000001
160666,-0.15,0.5246586,0.5000001
160667,-0.15,0.9800001,0.5000001
160668,-0.15,-1.296076,0.5000001
160669,-0.15,-1.217596,0.5000001
160670,-0.15,-1.041016,0.5000001
160671,-0.15,-0.7663363,0.5000001
160672,-0.15,-0.3935566,0.5000001
160673,-0.15,0.07732299,0.5000001
160674,-0.15,0.6463025,0.5000001
160675,-0.15,0.9800001,0.5000001
160676,-0.15,-1.288228,0.5000001
160677,-0.15,-1.190128,0.5000001
160678,-0.15,-0.9939281,0.5000001
160679,-0.15,-0.6996284,0.5000001
160680,-0.15,-0.3072287,0.5000001
160681,-0.15,0.1832709,0.5000001
160682,-0.15,0.7718704,0.5000001
160683,-0.15,0.9800001,0.5000001
